Name.of.institution,UnitID,Sector,OPEID,Calendar.system
Alabama A & M University,100654,1,2188200,Academic
Faulkner University,100663,2,3033000,Academic
University of Montevallo,100690,1,450600,Academic
Alabama State University,100706,1,2083900,Academic
Central Alabama Community College,100724,4,317400,Academic
Auburn University,100751,1,2180000,Academic
Birmingham Southern College,100760,2,970400,Academic
John C Calhoun State Community College,100830,4,203100,Academic
Enterprise State Community College,100858,4,1001000,Academic
University of North Alabama,100937,1,269800,Academic
Gadsden State Community College,101028,4,3170300,Academic
George C Wallace State Community College-Dothan,101073,4,292800,Academic
Huntingdon College,101116,2,317200,Academic
Jacksonville State University,101143,1,378000,Academic
Jefferson Davis Community College,101161,4,232600,Academic
Jefferson State Community College,101189,4,363900,Academic
Judson College,101240,2,395600,Academic
University of West Alabama,101277,1,201100,Academic
Marion Military Institute,101286,4,2553700,Academic
Miles College,101295,2,727300,Academic
University of Mobile,101301,2,378700,Academic
Bishop State Community College,101365,4,292600,Academic
Northeast Alabama Community College,101435,4,110100,Academic
Oakwood University,101453,2,367900,Academic
Alabama Southern Community College,101462,4,156900,Academic
Samford University,101480,2,100200,Academic
Snead State Community College,101499,4,157500,Academic
Southern Union State Community College,101505,4,831000,Academic
Spring Hill College,101514,2,109000,Academic
Stillman College,101541,2,262200,Academic
Talladega College,101569,2,268700,Academic
Troy University,101587,1,152200,Academic
Tuskegee University,101602,2,993000,Academic
The University of Alabama,101648,1,147700,Academic
University of Alabama at Birmingham,101675,1,110700,Academic
University of Alabama in Huntsville,101693,1,290600,Academic
University of South Alabama,101709,1,382600,Academic
Lawson State Community College-Birmingham Campus,101736,4,379200,Academic
James H Faulkner State Community College,101879,4,974100,Academic
Alaska Pacific University,101897,2,202600,Academic
University of Alaska Fairbanks,101912,1,1465900,Academic
University of Alaska Southeast,101949,1,200600,Academic
Arizona Western College,101958,4,110800,Academic
Cochise County Community College District,101994,4,359900,Academic
Eastern Arizona College,102030,4,298400,Academic
Grand Canyon University,102049,3,160100,Academic
Glendale Community College,102058,4,157900,Academic
Mesa Community College,102067,4,100400,Academic
Phoenix College,102076,4,375300,Academic
Yavapai College,102094,4,316300,Academic
Arizona State University-Tempe,102234,1,200500,Academic
Arizona State University-West,102261,1,290700,Academic
Arizona State University-Polytechnic,102270,1,372800,Academic
Arizona State University-Downtown Phoenix,102298,1,100900,Academic
Arizona State University-Skysong,102313,1,108900,Academic
Northern Arizona University,102368,1,965100,Academic
University of Arizona,102377,1,269600,Academic
University of Arkansas at Monticello,102429,1,295400,Academic
University of Arkansas at Pine Bluff,102553,1,373500,Academic
Arkansas Baptist College,102580,2,256900,Academic
Lyon College,102614,2,332300,Academic
Arkansas Tech University,102632,1,297200,Academic
Arkansas State University-Main Campus,102669,1,332200,Academic
Arkansas State University-Mountain Home,102711,4,364200,Academic
Arkansas State University-Beebe,102845,4,979700,Academic
University of Central Arkansas,103501,1,344900,Academic
Central Baptist College,103644,2,1167800,Academic
University of the Ozarks,103732,2,268800,Academic
Crowley's Ridge College,103741,2,227400,Academic
Harding University,103787,2,105700,Academic
Henderson State University,103811,1,984100,Academic
Hendrix College,103893,2,255900,Academic
John Brown University,103909,2,140600,Academic
University of Arkansas at Little Rock,103927,1,253900,Academic
Ouachita Baptist University,103945,2,135000,Academic
Philander Smith College,103954,2,197600,Academic
Phillips Community College of the University of Arkansas,103963,4,298100,Academic
Shorter College,104090,5,218000,Academic
Williams Baptist College,104151,2,351000,Academic
Southern Arkansas University Main Campus,104160,1,1036200,Academic
University of Arkansas,104179,1,155800,Academic
University of Arkansas-Fort Smith,104188,1,374900,Academic
Allan Hancock College,104346,4,161600,Academic
Antelope Valley College,104364,4,216100,Academic
Art Center College of Design,104391,2,210600,Academic
Azusa Pacific University,104425,2,137200,Academic
Azusa Pacific University College,104434,2,332000,Academic
Bakersfield College,104443,4,204100,Academic
Barstow Community College,104504,4,360600,Academic
Biola University,104568,2,389900,Academic
Brooks Institute,104577,3,269300,Academic
Cabrillo College,104586,4,244000,Academic
California Baptist University,104708,2,305105,Academic
California College of the Arts,104717,2,353000,Academic
California Institute of Technology,104911,2,266300,Academic
California Institute of the Arts,105145,2,346300,Academic
California Lutheran University,105154,2,676000,Academic
The California Maritime Academy,105163,1,175800,Academic
California State University-Fullerton,105172,1,167400,Academic
California State University-East Bay,105206,1,141700,Academic
California State University-Long Beach,105215,1,201700,Academic
California State University-Los Angeles,105297,1,108300,Academic
California State University-Dominguez Hills,105330,1,292300,Academic
California State University-San Bernardino,105349,1,111000,Academic
California Polytechnic State University-San Luis Obispo,105367,1,369800,Academic
California State Polytechnic University-Pomona,105428,1,950700,Academic
California State University-Chico,105482,1,141702,Academic
California State University-Fresno,105525,1,376400,Academic
Humboldt State University,105534,1,255100,Academic
California State University-Sacramento,105543,1,373200,Academic
San Diego State University,105589,1,365600,Academic
California State University-Northridge,105659,1,382300,Academic
San Francisco State University,105668,1,256600,Academic
San Jose State University,105677,1,202500,Academic
Sonoma State University,105701,1,218900,Academic
California State University-Stanislaus,105747,1,332600,Academic
Cerritos College,105792,4,266400,Academic
Chabot College,105899,4,201000,Academic
Chaffey College,105987,4,342300,Academic
Chapman University,106041,2,319300,Academic
Citrus College,106102,4,134800,Academic
Claremont McKenna College,106111,2,3101300,Academic
Harvey Mudd College,106148,2,329000,Academic
Pitzer College,106245,2,475900,Academic
Pomona College,106281,2,131600,Academic
Scripps College,106306,2,1116300,Academic
West Hills College-Coalinga,106315,4,537300,Academic
Cogswell College,106324,3,132000,Academic
College of Marin,106342,4,195000,Academic
Notre Dame de Namur University,106351,2,258901,Academic
College of San Mateo,106360,4,192600,Academic
College of the Desert,106397,4,240300,Academic
