Index,Rank,Major,Early_Career_Pay,Mid_Career_Pay,High_Meaning_percent
1,1,Petroleum Engineering,96700,172000,56
2,2,Systems Engineering,66400,121000,50
3,3,Actuarial Science,60800,119000,43
4,3,Chemical Engineering,69800,119000,56
5,5,Computer Science (CS) & Engineering,71200,116000,45
6,5,Nuclear Engineering,68500,116000,55
7,7,Electronics & Communications Engineering,68000,115000,54
8,8,Electrical & Computer Engineering (ECE),68100,114000,49
9,9,Aeronautical Engineering,63000,113000,61
10,9,Computer Engineering (CE),69600,113000,46
11,11,Computer Science (CS) & Mathematics,63500,111000,36
12,11,Physics & Mathematics,56200,111000,48
13,13,Applied Mathematics,56100,110000,40
14,13,Electrical Engineering (EE),67000,110000,53
15,15,Electrical & Electronics Engineering (EEE),64000,108000,61
16,15,Industrial & Systems Engineering,63800,108000,45
17,15,Materials Science & Engineering,65800,108000,45
18,15,Physics,55100,108000,47
19,19,Computer Science (CS),65300,107000,41
20,19,Engineering,62600,107000,62
21,19,Industrial Distribution,56800,107000,51
22,19,Mining Engineering,70200,107000,NA
23,23,Aerospace Engineering,65400,106000,48
24,24,Government,49600,105000,48
25,25,Biomedical Engineering (BME),62700,104000,75
26,25,Industrial Engineering (IE),63800,104000,45
27,25,Structural Engineering (SE),58700,104000,71
28,28,Mechanical Engineering (ME),63500,103000,51
29,28,Physician Assistant Studies,85200,103000,86
30,30,Construction Engineering Management,59500,102000,59
31,31,Finance & Real Estate,59500,101000,36
32,32,Economics,53900,1.00E+05,41
33,33,Electronics Engineering,61300,99600,51
34,34,Engineering Management,62800,98400,56
35,35,Finance & Economics,56700,98200,37
36,36,Software Engineering,64700,98100,42
37,37,Biochemistry & Molecular Biology,46000,97500,70
38,37,Statistics,57400,97500,32
39,39,Management Information Systems (MIS),58100,97400,41
40,40,Building Construction Management,54400,96500,58
41,41,Civil Engineering (CE),57200,96300,67
42,42,Mathematics,54000,95700,43
43,43,Computing,51400,95500,53
44,44,Mathematics & Statistics,53700,95300,56
45,45,Management Science,57200,95000,46
46,46,Marketing & International Business,45400,94800,39
47,47,Packaging Science,61100,94600,35
48,48,Construction Management,57400,94500,59
49,49,Building Construction (BC),56000,94000,49
50,50,Manufacturing Engineering,62000,93200,39
51,51,Environmental Engineering,53900,92800,66
52,52,Business Information Systems,56300,92600,29
53,53,Information Systems (IS),56300,92200,45
54,53,Operations & Supply Chain Management,52600,92200,37
55,55,Civil & Environmental Engineering,57200,91100,72
56,56,Construction Engineering,59800,91000,55
57,56,International Business,48800,91000,43
58,58,Engineering Technology (ET),52500,90800,47
59,59,Agricultural Engineering (AE),55000,90600,61
60,60,Government & Politics,44600,90400,43
61,61,Aviation Management,41900,90200,54
62,62,Molecular Biology,45500,90100,70
63,63,Electrical Engineering Technology (EET),59900,89900,51
64,64,Architectural Engineering,61700,89800,48
65,64,Environmental Health & Safety,51200,89800,79
66,66,Finance,53300,89600,39
67,67,Computer Information Systems (CIS),54300,89500,44
68,68,Informatics,60100,88800,47
69,69,Industrial Management,51600,88200,54
70,70,Business Economics,52100,87500,39
71,70,Telecommunications Management,50000,87500,49
72,72,Mechanical Engineering Technology (MET),57600,87400,48
73,73,Information Systems Management,54000,87200,51
74,74,Information Technology (IT) & Systems,52800,87100,41
75,74,Telecommunications,40800,87100,25
76,76,Information Technology Management,53700,86800,47
77,77,Agricultural Economics & Business,44600,86700,59
78,78,Physical Therapy,60300,86600,89
79,79,Accounting & Finance,52800,86400,46
80,79,International Relations,46500,86400,46
81,81,Operations Management (OM),54800,86200,44
82,82,Information Security,58300,85600,46
83,82,Manufacturing Engineering Technology,59100,85600,38
84,84,Business & Marketing,45800,85300,43
85,85,Construction Project Management,52500,85200,53
86,86,Technical Communication,45300,85100,49
87,87,Electronics Engineering Technology (EET),58100,84900,51
88,88,Marketing & Management,44700,84800,46
89,89,Real Estate,55400,84500,37
90,90,Organizational Behavior,47000,84400,45
91,90,Supply Chain Management,54500,84400,36
92,92,Civil Engineering Technology (CET),51300,84300,52
93,92,Information Technology (IT),53000,84300,46
94,92,Politics,45600,84300,45
95,95,Philosophy,44700,84100,39
96,96,Industrial Engineering Technology,60100,83600,62
97,97,Industrial Technology (IT),55200,83400,51
98,98,Agribusiness,43200,83100,57
99,98,Public Affairs,46800,83100,59
100,100,Biochemistry (BCH),44700,83000,60
101,100,Business Management & Marketing,45000,83000,50
102,100,Chemistry,45700,83000,59
103,103,Computer Information Systems,47100,82800,53
104,104,Meteorology,43600,82700,54
105,105,Computer Programming,50500,82600,36
106,106,Marketing,45300,82500,39
107,107,Industrial Design (ID),48600,82100,34
108,107,Occupational Health and Safety,54900,82100,72
109,109,Financial Accounting,45100,82000,42
110,110,Pre-Medicine,42700,81200,63
111,111,Food Science,46700,81100,46
112,112,Sales & Marketing,45400,80800,44
113,113,Risk Management & Insurance,52300,80600,51
114,114,Food Science & Technology,49000,80400,62
115,115,Biology & Chemistry,41500,79900,64
116,115,Political Science (PolySci),44300,79900,48
117,117,Advertising,41400,79800,31
118,117,Advertising & Marketing Communications,43400,79800,36
119,117,Geology,44800,79800,55
120,120,Architecture,45100,79300,53
121,120,Microbiology,44600,79300,70
122,122,Biological Sciences,42900,79200,62
123,123,Marketing & Communications,44900,79000,38
124,124,Transportation & Logistics Management,47800,78900,60
125,125,Marketing Management,45300,78500,37
126,126,Urban & Regional Planning,44000,78100,44
127,127,Fashion Design,41400,77700,28
128,127,Project Management,49500,77700,60
129,129,Logistics & Supply Chain Management,51800,77400,39
130,130,Financial Management,49300,77300,49
131,130,Law,47600,77300,40
132,132,Accounting,48300,77200,41
133,132,Environmental Design,42900,77200,38
134,134,Organizational Development,52800,77100,48
135,135,Environmental Science,43300,77000,60
136,136,Business Communication,44400,76600,41
137,137,Logistics,51500,76500,22
138,138,Technology Management,52500,76400,44
139,139,History & Political Science,44500,76000,47
140,140,Finance & Banking,48600,75900,49
141,141,Technical Management,46300,75700,50
142,142,Dental Hygiene,65400,74900,79
143,142,Industrial Psychology,44000,74900,43
144,144,Aeronautics,53900,74600,61
145,144,Entrepreneurship,48000,74600,40
146,146,Agronomy,45600,74400,68
147,147,English Literature,41100,74300,46
148,148,Digital Media,40800,74200,39
149,148,Environmental Studies,41500,74200,64
150,148,Foreign Languages,42500,74200,55
151,148,Information Systems Security,57100,74200,41
152,152,Nursing,57500,74100,83
153,153,Landscape Architecture,44400,74000,71
154,154,General Business,45000,73900,50
155,155,History,42200,73600,46
156,156,Film Production,41400,73500,33
157,156,Literature,40400,73500,41
158,158,Biology,40800,73100,65
159,159,Management,45000,73000,47
160,160,Computer Aided Drafting & Design (CADD),43300,72800,NA
161,161,Design,42400,72700,33
162,162,General Science,41600,72600,68
163,163,Business Management & Human Resources Management (HRM),42100,72500,68
164,164,American Studies,45100,72400,42
165,164,Business Administration,46100,72400,50
166,164,Professional & Technical Writing,42700,72400,48
167,167,Business Management,45800,72300,50
168,167,Communication,42100,72300,44
169,167,Theatre & Drama Studies,40400,72300,51
170,167,Urban Studies,44500,72300,48
171,171,Communication Studies & Journalism,39800,72100,37
172,171,Interior Architecture,43200,72100,39
173,173,Computer Networking Systems,46900,71900,54
174,174,German Language & Literature,44400,71700,48
175,174,International Studies,43300,71700,50
176,176,Pre-law,42300,71300,41
177,177,Public Relations & Communication,39800,71200,48
178,178,Diagnostic Medical Sonography,57700,71100,83
179,179,French Language,43900,71000,44
180,179,Journalism & Mass Communication,41100,71000,42
181,181,Accounting & Management,48700,70800,58
182,182,Public Relations (PR),40100,70700,44
183,183,Speech Communication,42000,70600,59
184,184,Accounting & Business,45200,70500,45
185,185,Environmental Biology,40900,70400,73
186,186,Film Studies,39800,70000,41
187,187,American History (United States),42000,69600,50
188,188,Journalism,41200,69400,45
189,189,Environmental Management,47400,69300,67
190,190,Marketing & Mass Communications,40600,69000,42
191,191,Broadcast Communication,35600,68700,27
192,191,Geographic Information Systems (GIS),44900,68700,48
193,191,Natural Resource Management,39500,68700,56
194,194,English Language & Literature,40400,68200,46
195,194,Geography,43800,68200,50
196,196,Human Resources Management (HRM),42300,68100,52
197,197,Nuclear Medicine Technology,55200,67900,NA
198,198,Linguistics,44500,67800,45
199,199,Technical Theatre,35100,67700,27
200,200,Agriculture,40800,67600,53
201,201,Business Administration & Accounting,44900,67500,55
202,202,Forestry,41500,67400,65
203,203,Zoology,35600,67300,64
204,204,Advertising & Graphic Design,42400,67100,34
205,205,Writing,38000,67000,30
206,206,Computer & Network Administration,50800,66900,40
207,207,Business Management & Administration,46100,66700,52
208,208,International Affairs,44200,66600,53
209,209,Multimedia & Web Design,42300,66500,33
210,210,"Film, Video & Media Studies",39600,66300,34
211,210,Human Resources (HR),41900,66300,56
212,210,Mass Communication,40200,66300,48
213,210,Organizational Management,44000,66300,60
214,214,Radio/Television & Film Production,40700,66200,34
215,215,Public Administration,40900,66100,52
216,216,Radiologic Technology,45100,66000,68
217,217,Creative Writing,38900,65900,42
218,218,Media Communication,39400,65500,46
219,219,Leadership,47100,65300,49
220,219,Organizational Leadership,43900,65300,56
221,221,Sports Management,39100,65200,41
222,222,Cultural Anthropology,41000,65000,45
223,222,Music Performance,39900,65000,57
224,222,Organizational Communication,41400,65000,48
225,225,Radio & Television,38000,64300,46
226,226,Broadcast Journalism,38400,64200,44
227,227,Medical Laboratory Technology,48500,64000,78
228,228,Criminal Justice Administration,39000,63900,53
229,229,Health Information Management,41700,63800,65
230,229,Visual Arts (VA),39600,63800,42
231,231,Secondary English Teacher Education,37800,63700,61
232,232,Criminology,39500,63600,51
233,232,Spanish Language,40300,63600,55
234,234,Art History,40800,63300,44
235,235,Fashion Merchandising,41200,63000,30
236,236,Respiratory Therapy,46200,62900,83
237,237,Hotel & Restaurant Management,41000,62800,49
238,237,Illustration,39000,62800,33
239,239,Clinical Laboratory Science,48800,62700,75
240,239,"Hotel, Restaurant, and Institutional Management (HRIM)",50500,62700,NA
241,241,Art & Design,39500,62600,44
242,241,Health Sciences,38300,62600,69
243,243,Business & Healthcare Management,40000,62500,68
244,243,Fine Arts,38400,62500,41
245,243,Visual Communication Design,40700,62500,31
246,246,Visual Communications,40500,62400,39
247,247,Liberal Arts,39100,62300,51
248,247,Sociology,40400,62300,53
249,249,Hospitality & Tourism,37900,62200,36
250,250,Communication Design,45300,62100,37
251,250,Psychology,38300,62100,56
252,252,Kinesiology,37800,61800,68
253,253,Nutrition,40700,61600,65
254,254,Medical Laboratory Science,47900,61500,93
255,255,Secondary Education,40200,61400,64
256,256,Interior Design,39600,61000,51
257,257,Health,35700,60700,79
258,258,Studio Art,36700,60600,42
259,259,Anthropology,39900,60500,49
260,259,Dietetics,44300,60500,80
261,259,Graphic Design,40000,60500,35
262,259,Public Health (PH),38300,60500,67
263,263,Exercise Physiology,38400,60300,83
264,263,Religious Studies,38500,60300,59
265,265,Hospitality Management,40500,60200,44
266,266,Health & Physical Education Teaching,35900,60100,67
267,267,Music Business,39100,60000,35
268,267,Social Science,39700,60000,55
269,269,Health Care Administration,39400,59900,68
270,269,Theater,39500,59900,57
271,271,Interdisciplinary Studies (IS),39800,59500,53
272,272,Human Resources Development,40400,59400,51
273,273,"Graphic Design, Illustration",36800,59300,32
274,274,Criminal Justice,37000,59100,53
275,274,Nutrition & Dietetics,44000,59100,67
276,276,Health Administration,36600,59000,67
277,277,Animal Science,35800,58900,60
278,277,Exercise & Sports Science,36800,58900,63
279,279,Foods & Nutrition,40900,58700,79
280,279,Painting,37200,58700,42
281,279,Photography,38000,58700,33
282,282,Liberal Studies,39600,58600,54
283,283,Restaurant & Food Service Management,40600,58400,NA
