Rank,CollegeTYpe,College Type,Early Career,Mid Career
1,SUNY - Maritime College,"State School, Business School","$69,700.00","$144,000.00"
2,Massachusetts Institute of Technology (MIT),"Private School, Research University, Engineering School","$78,300.00","$134,000.00"
[object Object],,,,
,,,,
3 (tie),Harvey Mudd College,"Private School, Engineering School, Liberal Arts School","$78,500.00","$131,000.00"
[object Object],,,,
,,,,
3 (tie),Princeton University,"Private School, Research University, Ivy League, For Sports Fans","$65,700.00","$131,000.00"
[object Object],,,,
,,,,
5,Stanford University,"Private School, Research University, For Sports Fans","$70,800.00","$127,000.00"
[object Object],,,,
,,,,
6,United States Military Academy (USMA) at West Point *,"State School, Liberal Arts School, Sober School, For Sports Fans","$76,000.00","$126,000.00"
[object Object],,,,
,,,,
7,United States Naval Academy (USNA) at Annapolis *,"State School, Engineering School, Liberal Arts School, Sober School, For Sports Fans","$72,900.00","$125,000.00"
[object Object],"State School, Engineering School, Liberal Arts School, Sober School, For Sports Fans",,,
,,,,
8 (tie),United States Air Force Academy (USAFA) *,"State School, Liberal Arts School, For Sports Fans","$68,800.00","$124,000.00"
[object Object],"State School, Liberal Arts School, For Sports Fans",,,
,,,,
8 (tie),University of Pennsylvania,"Private School, Research University, Ivy League, For Sports Fans","$62,200.00","$124,000.00"
[object Object],"Private School, Research University, Ivy League, For Sports Fans",,,
,,,,
10,Harvard University,"Private School, Research University, Ivy League, For Sports Fans","$65,200.00","$123,000.00"
[object Object],"Private School, Research University, Ivy League, For Sports Fans",,,
,,,,
11,Babson College,"Private School, Business School","$59,500.00","$122,000.00"
[object Object],"Private School, Business School",,,
,,,,
12,Santa Clara University,"Private School, Religious, For Sports Fans","$61,900.00","$121,000.00"
[object Object],"Private School, Religious, For Sports Fans",,,
,,,,
13 (tie),Bates College,"Private School, Liberal Arts School","$47,000.00","$119,000.00"
[object Object],"Private School, Liberal Arts School",,,
,,,,
13 (tie),Carnegie Mellon University (CMU),"Private School, Research University, Engineering School","$69,400.00","$119,000.00"
[object Object],"Private School, Research University, Engineering School",,,
,,,,
13 (tie),Dartmouth College,"Private School, Research University, Ivy League, For Sports Fans","$60,800.00","$119,000.00"
[object Object],"Private School, Research University, Ivy League, For Sports Fans",,,
,,,,
13 (tie),Duke University,"Private School, Research University, Religious, For Sports Fans","$61,300.00","$119,000.00"
