rank,college_name,early_careerr,mid_career
1,SUNY - Maritime College,"$69,700.00","$144,000.00"
2,Massachusetts Institute of Technology (MIT),"$78,300.00","$134,000.00"
3 (tie),Harvey Mudd College,"$78,500.00","$131,000.00"
3 (tie),Princeton University,"$65,700.00","$131,000.00"
5,Stanford University,"$70,800.00","$127,000.00"
6,United States Military Academy (USMA) at West Point *,"$76,000.00","$126,000.00"
7,United States Naval Academy (USNA) at Annapolis *,"$72,900.00","$125,000.00"
8 (tie),United States Air Force Academy (USAFA) *,"$68,800.00","$124,000.00"
8 (tie),University of Pennsylvania,"$62,200.00","$124,000.00"
10,Harvard University,"$65,200.00","$123,000.00"
11,Babson College,"$59,500.00","$122,000.00"
12,Santa Clara University,"$61,900.00","$121,000.00"
13 (tie),Bates College,"$47,000.00","$119,000.00"
13 (tie),Carnegie Mellon University (CMU),"$69,400.00","$119,000.00"
13 (tie),Dartmouth College,"$60,800.00","$119,000.00"
13 (tie),Duke University,"$61,300.00","$119,000.00"
17 (tie),"Clarkson University - Potsdam, NY","$61,700.00","$117,000.00"
17 (tie),Occidental College,"$49,200.00","$117,000.00"
17 (tie),Stevens Institute of Technology,"$65,600.00","$117,000.00"
20,Brown University,"$58,600.00","$116,000.00"
21,University of Chicago,"$53,000.00","$115,000.00"
22 (tie),Colorado School of Mines,"$65,200.00","$114,000.00"
22 (tie),Georgetown University - Washington D.C.,"$55,400.00","$114,000.00"
24 (tie),Colgate University,"$56,500.00","$113,000.00"
24 (tie),Rice University,"$62,300.00","$113,000.00"
26 (tie),Georgia Institute of Technology,"$65,300.00","$112,000.00"
26 (tie),Lehigh University,"$62,900.00","$112,000.00"
26 (tie),University of California - Berkeley,"$60,500.00","$112,000.00"
26 (tie),Worcester Polytechnic Institute (WPI),"$65,300.00","$112,000.00"
30 (tie),Reed College,"$44,800.00","$111,000.00"
30 (tie),Washington and Lee University,"$54,500.00","$111,000.00"
32 (tie),Cooper Union for The Advancement of Science and Art,"$65,700.00","$110,000.00"
32 (tie),Rensselaer Polytechnic Institute (RPI),"$64,400.00","$110,000.00"
34 (tie),Columbia University,"$64,000.00","$109,000.00"
34 (tie),"Cornell University - Ithaca, NY","$63,200.00","$109,000.00"
36 (tie),Bucknell University,"$58,500.00","$108,000.00"
36 (tie),Rose-Hulman Institute of Technology (RHIT),"$67,500.00","$108,000.00"
36 (tie),University of California - San Diego (UCSD),"$54,400.00","$108,000.00"
36 (tie),Virginia Military Institute (VMI) *,"$54,100.00","$108,000.00"
40,Lafayette College,"$55,900.00","$107,000.00"
41 (tie),Saint Mary's College of California,"$50,000.00","$106,000.00"
41 (tie),Tufts University,"$56,700.00","$106,000.00"
43 (tie),Illinois Institute of Technology (IIT),"$59,900.00","$105,000.00"
43 (tie),Kettering University,"$66,300.00","$105,000.00"
45 (tie),Manhattan College,"$58,500.00","$104,000.00"
45 (tie),University of Notre Dame,"$61,200.00","$104,000.00"
47 (tie),Oberlin College,"$44,900.00","$103,000.00"
