Major,Median
ACCOUNTING,65000
ACTUARIAL SCIENCE,72000
ADVERTISING AND PUBLIC RELATIONS,50000
AEROSPACE ENGINEERING,80000
AGRICULTURAL ECONOMICS,63000
AGRICULTURE PRODUCTION AND MANAGEMENT,54000
ANIMAL SCIENCES,46000
ANTHROPOLOGY AND ARCHEOLOGY,43000
APPLIED MATHEMATICS,70000
ARCHITECTURAL ENGINEERING,78000
ARCHITECTURE,63000
AREA ETHNIC AND CIVILIZATION STUDIES,46000
ART AND MUSIC EDUCATION,42600
ART HISTORY AND CRITICISM,44500
ASTRONOMY AND ASTROPHYSICS,80000
ATMOSPHERIC SCIENCES AND METEOROLOGY,60000
BIOCHEMICAL SCIENCES,53000
BIOLOGICAL ENGINEERING,62000
BIOLOGY,51000
BIOMEDICAL ENGINEERING,65000
BOTANY,50000
BUSINESS ECONOMICS,65000
BUSINESS MANAGEMENT AND ADMINISTRATION,58000
CHEMICAL ENGINEERING,86000
CHEMISTRY,59000
CIVIL ENGINEERING,78000
CLINICAL PSYCHOLOGY,45000
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,53000
COMMERCIAL ART AND GRAPHIC DESIGN,46600
COMMUNICATION DISORDERS SCIENCES AND SERVICES,42000
COMMUNICATION TECHNOLOGIES,50000
COMMUNICATIONS,50000
COMMUNITY AND PUBLIC HEALTH,47000
COMPOSITION AND RHETORIC,40000
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,55000
COMPUTER AND INFORMATION SYSTEMS,65000
COMPUTER ENGINEERING,80000
COMPUTER NETWORKING AND TELECOMMUNICATIONS,55000
COMPUTER PROGRAMMING AND DATA PROCESSING,60000
COMPUTER SCIENCE,78000
CONSTRUCTION SERVICES,65000
COSMETOLOGY SERVICES AND CULINARY ARTS,40000
COUNSELING PSYCHOLOGY,39000
COURT REPORTING,50000
CRIMINAL JUSTICE AND FIRE PROTECTION,50000
CRIMINOLOGY,49000
DRAMA AND THEATER ARTS,42000
EARLY CHILDHOOD EDUCATION,35300
ECOLOGY,47500
ECONOMICS,69000
EDUCATIONAL ADMINISTRATION AND SUPERVISION,58000
EDUCATIONAL PSYCHOLOGY,40000
ELECTRICAL ENGINEERING,88000
ELECTRICAL ENGINEERING TECHNOLOGY,67000
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",48000
ELEMENTARY EDUCATION,40000
ENGINEERING AND INDUSTRIAL MANAGEMENT,74000
ENGINEERING MECHANICS PHYSICS AND SCIENCE,65000
ENGINEERING TECHNOLOGIES,63000
ENGLISH LANGUAGE AND LITERATURE,50000
ENVIRONMENTAL ENGINEERING,70000
ENVIRONMENTAL SCIENCE,52000
FAMILY AND CONSUMER SCIENCES,40500
FILM VIDEO AND PHOTOGRAPHIC ARTS,47000
FINANCE,65000
FINE ARTS,45000
FOOD SCIENCE,62000
FORESTRY,58000
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,48000
GENERAL AGRICULTURE,50000
GENERAL BUSINESS,60000
GENERAL EDUCATION,43000
GENERAL ENGINEERING,75000
GENERAL MEDICAL AND HEALTH SERVICES,50000
GENERAL SOCIAL SCIENCES,50000
GENETICS,48000
GEOGRAPHY,54000
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,85000
GEOLOGY AND EARTH SCIENCE,65000
GEOSCIENCES,57000
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,50000
HEALTH AND MEDICAL PREPARATORY PROGRAMS,50000
HISTORY,50000
HOSPITALITY MANAGEMENT,49000
HUMAN RESOURCES AND PERSONNEL MANAGEMENT,54000
HUMAN SERVICES AND COMMUNITY ORGANIZATION,38000
HUMANITIES,46700
INDUSTRIAL AND MANUFACTURING ENGINEERING,75000
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,62000
INDUSTRIAL PRODUCTION TECHNOLOGIES,70000
INFORMATION SCIENCES,68000
INTERCULTURAL AND INTERNATIONAL STUDIES,45000
INTERDISCIPLINARY SOCIAL SCIENCES,45000
INTERNATIONAL BUSINESS,54000
INTERNATIONAL RELATIONS,55000
JOURNALISM,50000
LANGUAGE AND DRAMA EDUCATION,42000
LIBERAL ARTS,50000
LIBRARY SCIENCE,40000
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,48000
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,72000
MARKETING AND MARKETING RESEARCH,56000
MASS MEDIA,48000
MATERIALS ENGINEERING AND MATERIALS SCIENCE,78000
MATERIALS SCIENCE,75000
MATHEMATICS,66000
MATHEMATICS AND COMPUTER SCIENCE,92000
MATHEMATICS TEACHER EDUCATION,43000
MECHANICAL ENGINEERING,80000
MECHANICAL ENGINEERING RELATED TECHNOLOGIES,60000
MEDICAL ASSISTING SERVICES,55000
MEDICAL TECHNOLOGIES TECHNICIANS,60000
METALLURGICAL ENGINEERING,96000
MICROBIOLOGY,60000
MILITARY TECHNOLOGIES,64000
MINING AND MINERAL ENGINEERING,92000
MISCELLANEOUS AGRICULTURE,52000
MISCELLANEOUS BIOLOGY,52000
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,53000
MISCELLANEOUS EDUCATION,50000
MISCELLANEOUS ENGINEERING,70000
MISCELLANEOUS ENGINEERING TECHNOLOGIES,63000
MISCELLANEOUS FINE ARTS,45000
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,45000
MISCELLANEOUS PSYCHOLOGY,45000
MISCELLANEOUS SOCIAL SCIENCES,52000
MOLECULAR BIOLOGY,45000
MULTI-DISCIPLINARY OR GENERAL SCIENCE,56000
MULTI/INTERDISCIPLINARY STUDIES,43000
MUSIC,45000
NATURAL RESOURCES MANAGEMENT,52000
NAVAL ARCHITECTURE AND MARINE ENGINEERING,97000
NEUROSCIENCE,35000
NUCLEAR ENGINEERING,95000
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",62000
NURSING,62000
NUTRITION SCIENCES,49500
OCEANOGRAPHY,55000
OPERATIONS LOGISTICS AND E-COMMERCE,65000
OTHER FOREIGN LANGUAGES,45000
PETROLEUM ENGINEERING,125000
PHARMACOLOGY,60000
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,106000
PHILOSOPHY AND RELIGIOUS STUDIES,45000
PHYSICAL AND HEALTH EDUCATION TEACHING,48400
PHYSICAL FITNESS PARKS RECREATION AND LEISURE,44000
PHYSICAL SCIENCES,60000
PHYSICS,70000
PHYSIOLOGY,50000
PLANT SCIENCE AND AGRONOMY,50000
POLITICAL SCIENCE AND GOVERNMENT,58000
PRE-LAW AND LEGAL STUDIES,48000
PSYCHOLOGY,45000
PUBLIC ADMINISTRATION,56000
PUBLIC POLICY,60000
SCHOOL STUDENT COUNSELING,41000
SCIENCE AND COMPUTER TEACHER EDUCATION,46000
SECONDARY TEACHER EDUCATION,45000
SOCIAL PSYCHOLOGY,47000
SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,45000
SOCIAL WORK,40000
SOCIOLOGY,47000
SOIL SCIENCE,63000
SPECIAL NEEDS EDUCATION,42000
STATISTICS AND DECISION SCIENCE,70000
STUDIO ARTS,37600
TEACHER EDUCATION: MULTIPLE LEVELS,40000
THEOLOGY AND RELIGIOUS VOCATIONS,40000
TRANSPORTATION SCIENCES AND TECHNOLOGIES,67000
TREATMENT THERAPY PROFESSIONS,61000
UNITED STATES HISTORY,50000
VISUAL AND PERFORMING ARTS,40000
ZOOLOGY,55000
