"","State","tuition"
"1","MP",2820
"2","PW",3250
"3","AS",3550
"4","WY",4484.33333333333
"5","VI",4794
"6","MH",4905
"7","FM",5080
"8","GU",5380.66666666667
"9","PR",5788.9898989899
"10","MT",6836.95454545455
"11","NM",6989.13513513513
"12","ND",7039.65
"13","MS",8131.38461538462
"14","AR",8325.94230769231
"15","HI",8947.63157894737
"16","AK",9504.625
"17","AL",10346.472972973
"18","LA",10394.7321428571
"19","WV",10494.7727272727
"20","AZ",10504.7142857143
"21","OK",10685.641509434
"22","ID",10973.6315789474
"23","KS",11089.5774647887
"24","SD",11160.652173913
"25","NC",11281.9724137931
"26","TX",11424.1596244131
"27","GA",11543.72
"28","NV",11731.9411764706
"29","CO",12245.2142857143
"30","DE",12415.7272727273
"31","WA",12656.2597402597
"32","UT",12863.3055555556
"33","SC",13322.88
"34","MI",13426.0825688073
"35","NE",13579.025
"36","MO",13775.0272727273
"37","KY",13895.4029850746
"38","CA",13901.3033033033
"39","FL",14149.9682539683
"40","MD",14642.5818181818
"41","MN",15054.5849056604
"42","WI",15084.5584415584
"43","OH",15160.1055276382
"44","VA",15193.9043478261
"45","TN",15259.4946236559
"46","OR",15530.3333333333
"47","IL",15540.3825503356
"48","NJ",15619.84
"49","ME",16793.1612903226
"50","NY",17740.1007194245
"51","IA",17740.3870967742
"52","CT",18405.6590909091
"53","NH",18619.56
"54","IN",19236.36
"55","PA",20761.9953703704
"56","DC",22009.8571428571
"57","MA",25267.6542056075
"58","VT",26558.5263157895
"59","RI",27849.5
